Satisfaction,Gender,Customer Type,Age,Type of Travel,Class,Flight Distance,Seat comfort,Food and drink,Gate location,Inflight entertainment,Ease of Online booking,Baggage handling,Online boarding,Departure Delay in Minutes,Arrival Delay in Minutes
dissatisfied,Male,Loyal Customer,11,Personal Travel,Eco,2056,1,1,3,1,5,1,5,38,68
dissatisfied,Male,Loyal Customer,48,Personal Travel,Eco,1987,1,1,3,1,3,4,3,15,26
satisfied,Female,Loyal Customer,21,Personal Travel,Eco Plus,2141,1,1,1,4,4,4,5,0,0
satisfied,Female,Loyal Customer,61,Personal Travel,Eco,800,2,2,2,4,4,4,5,0,0
dissatisfied,Female,Loyal Customer,64,Personal Travel,Eco,2597,2,2,3,1,3,3,1,132,137
dissatisfied,Male,Loyal Customer,45,Personal Travel,Business,973,2,2,5,4,4,4,3,0,0
dissatisfied,Male,Loyal Customer,21,Personal Travel,Business,2306,2,2,5,2,5,3,5,14,5
dissatisfied,Male,Loyal Customer,46,Personal Travel,Business,774,2,2,5,2,5,5,4,0,21
dissatisfied,Male,Loyal Customer,47,Personal Travel,Business,784,2,2,5,4,2,2,4,12,7
dissatisfied,Male,Loyal Customer,17,Personal Travel,Business,1615,2,2,5,2,3,4,3,10,0
dissatisfied,Male,Loyal Customer,15,Personal Travel,Business,2047,2,2,5,2,3,4,3,64,107
dissatisfied,Male,Loyal Customer,29,Personal Travel,Business,1334,2,2,5,2,2,4,2,39,48
dissatisfied,Male,Loyal Customer,48,Personal Travel,Business,2250,2,2,5,4,5,5,4,174,
dissatisfied,Male,Loyal Customer,58,Personal Travel,Business,237,2,2,5,5,4,4,5,2,0
dissatisfied,Male,Loyal Customer,30,Personal Travel,Business,1967,2,3,1,3,2,4,2,12,0
dissatisfied,Male,Loyal Customer,36,Personal Travel,Business,620,2,3,1,1,3,3,2,2,0
dissatisfied,Male,Loyal Customer,26,Personal Travel,Business,1409,2,3,2,3,4,1,4,7,0
dissatisfied,Male,Loyal Customer,51,Personal Travel,Business,1790,2,3,3,3,5,2,3,10,0
dissatisfied,Male,Loyal Customer,52,Personal Travel,Business,1114,2,3,3,4,4,1,1,0,17
dissatisfied,Male,Loyal Customer,13,Personal Travel,Business,2295,2,3,3,3,2,4,2,17,13
dissatisfied,Male,Loyal Customer,31,Personal Travel,Business,4126,2,3,4,4,5,4,4,31,39
dissatisfied,Male,Loyal Customer,7,Personal Travel,Business,2014,2,3,4,3,1,4,1,29,24
dissatisfied,Male,Loyal Customer,18,Personal Travel,Business,1453,2,3,5,3,5,4,5,15,3
dissatisfied,Male,Loyal Customer,52,Personal Travel,Business,490,2,4,3,2,1,1,4,8,0
dissatisfied,Male,Loyal Customer,14,Personal Travel,Business,1598,2,5,1,5,3,4,3,3,20
dissatisfied,Male,Loyal Customer,60,Personal Travel,Business,86,2,0,2,5,4,4,3,14,8
dissatisfied,Male,Loyal Customer,35,Personal Travel,Business,64,2,0,2,4,3,2,3,12,36
dissatisfied,Male,Loyal Customer,67,Personal Travel,Business,81,2,0,4,5,2,2,5,36,34
dissatisfied,Male,Loyal Customer,48,Personal Travel,Business,1079,2,1,1,4,5,5,5,8,21
dissatisfied,Male,Loyal Customer,7,Personal Travel,Business,2766,2,1,2,1,2,5,2,0,0
dissatisfied,Male,Loyal Customer,41,Personal Travel,Business,668,2,1,3,4,5,5,5,0,0
dissatisfied,Male,Loyal Customer,58,Personal Travel,Business,331,2,1,3,4,4,3,1,0,1
dissatisfied,Male,Loyal Customer,28,Personal Travel,Business,2364,2,1,4,1,5,5,5,0,0
satisfied,Female,Loyal Customer,50,Personal Travel,Business,1020,2,2,2,5,4,4,4,0,5
satisfied,Female,Loyal Customer,21,Personal Travel,Business,3167,3,3,3,4,4,4,3,0,0
dissatisfied,Male,Loyal Customer,16,Personal Travel,Business,2883,2,2,1,2,1,2,1,0,0
dissatisfied,Male,Loyal Customer,61,Personal Travel,Business,1746,2,2,1,5,2,2,4,0,0
dissatisfied,Male,Loyal Customer,12,Personal Travel,Business,2877,2,2,1,2,2,5,2,30,12
dissatisfied,Male,Loyal Customer,19,Personal Travel,Business,2207,2,2,1,2,4,5,4,0,0
dissatisfied,Male,Loyal Customer,12,Personal Travel,Business,2699,2,2,1,2,5,5,5,0,7
satisfied,Female,Loyal Customer,49,Personal Travel,Business,1222,3,3,3,3,4,4,3,3,0
dissatisfied,Male,Loyal Customer,52,Personal Travel,Business,1234,2,2,1,4,1,1,5,21,9
satisfied,Female,Loyal Customer,51,Personal Travel,Business,1204,5,5,5,4,4,4,4,19,3
dissatisfied,Male,Loyal Customer,42,Personal Travel,Business,1149,2,2,1,3,3,3,4,0,0
satisfied,Female,Loyal Customer,21,Personal Travel,Business,2507,4,2,2,4,4,1,4,0,1
dissatisfied,Male,Loyal Customer,55,Personal Travel,Business,1052,2,2,1,5,4,4,2,19,24
dissatisfied,Male,Loyal Customer,24,Personal Travel,Business,2337,2,2,1,2,3,3,3,0,6
dissatisfied,Male,Loyal Customer,61,Personal Travel,Business,839,2,2,1,3,2,2,3,24,23
dissatisfied,Male,Loyal Customer,56,Personal Travel,Business,807,2,2,1,5,5,5,4,19,10
dissatisfied,Female,Loyal Customer,50,Personal Travel,Business,2748,2,2,1,2,5,5,2,150,134
dissatisfied,Male,Loyal Customer,31,Personal Travel,Business,1862,2,2,1,2,1,1,1,3,0
satisfied,Female,Loyal Customer,37,Personal Travel,Business,609,5,5,5,5,4,4,4,1,5
satisfied,Female,Loyal Customer,11,Personal Travel,Business,2054,4,3,3,4,4,5,4,7,0
satisfied,Female,Loyal Customer,44,Personal Travel,Business,511,4,4,4,5,4,4,4,7,5
satisfied,Female,Loyal Customer,25,Personal Travel,Business,1649,4,4,4,5,4,4,3,0,0
